0.598440	0.598455	0.542431	0.542431	0.542431	0.542431	0.995000
0.750902	0.750907	0.056931	0.056931	0.056931	0.056931	0.000000
0.559211	0.559213	0.285519	0.285519	0.285519	0.285519	0.995000
0.048465	0.048465	0.542431	0.542431	0.542431	0.542431	0.000000
0.426648	0.426648	0.056931	0.056931	0.056931	0.056931	0.995000
0.425022	0.425022	0.285519	0.285519	0.285519	0.285519	0.000000
0.037557	0.037557	0.542431	0.542431	0.542431	0.542431	0.000000
0.414353	0.414353	0.056931	0.056931	0.056931	0.056931	0.000000
0.419032	0.419032	0.285519	0.285519	0.285519	0.285520	0.995000
0.037142	0.037142	0.542431	0.542432	0.542432	0.542434	0.995000
0.413876	0.413876	0.056931	0.056932	0.056931	0.056935	0.000000
0.418798	0.418798	0.285520	0.285526	0.285523	0.285548	0.000000
0.037126	0.037126	0.542434	0.542451	0.542441	0.542506	0.995000
0.413858	0.413858	0.056935	0.056956	0.056944	0.057026	0.995000
0.418792	0.418792	0.285548	0.285722	0.285621	0.286289	0.000000
0.037126	0.037126	0.542506	0.542939	0.542687	0.544347	0.995000
0.413877	0.413877	0.057026	0.057580	0.057257	0.059385	0.995000
0.418867	0.418867	0.286289	0.290761	0.288160	0.305189	0.000000
0.037150	0.037150	0.544347	0.555431	0.548994	0.590751	0.995000
0.414393	0.414393	0.059385	0.073857	0.065396	0.123260	0.000000
0.420798	0.420798	0.305189	0.413009	0.351607	-1.000000	0.995000
0.037761	0.037761	0.590751	0.835017	-1.000000	-1.000000	0.995000
0.427515	0.427515	0.123260	-1.000000	-1.000000	-1.000000	0.995000
0.467379	0.467379	-1.000000	-1.000000	-1.000000	-1.000000	0.995000
0.056931	0.056931	-1.000000	-1.000000	-1.000000	-1.000000	0.995000
