0 
0.09657484
1 
0.952695
2 
0.97780114
3 
0.5409622
4 
0.7278176
5 
0.71879214
6 0 1 3 4 
T T T T 0.21717268 
F T T T 0.62251556 
T F T T 0.55752355 
F F T T 0.45870334 
T T F T 0.30366725 
F T F T 0.83207166 
T F F T 0.30452532 
F F F T 0.69468427 
T T T F 0.42189342 
F T T F 0.3616171 
T F T F 0.12107563 
F F T F 0.21903515 
T T F F 0.27631545 
F T F F 0.9024544 
T F F F 0.04002559 
F F F F 0.49233514 
7 3 
T 0.051226676 
F 0.5705637 
8 3 
T 0.658641 
F 0.5745863 
9 2 4 5 
T T T 0.5625391 
F T T 0.44688308 
T F T 0.36663055 
F F T 0.45462286 
T T F 0.47257292 
F T F 0.41512442 
T F F 0.9167543 
F F F 0.12687498 
10 4 
T 0.7869044 
F 0.54656714 
11 3 
T 0.08599502 
F 0.29963493 
12 5 11 
T T 0.29150665 
F T 0.9360104 
T F 0.45335543 
F F 0.019614816 
13 12 
T 0.47831255 
F 0.50418586 
14 1 5 
T T 0.9129892 
F T 0.44003046 
T F 0.45210052 
F F 0.75041205 
15 12 
T 0.41058785 
F 0.65397716 
16 12 
T 0.63480586 
F 0.6755919 
17 6 
T 0.70359915 
F 0.57355577 
18 14 
T 0.508923 
F 0.2390567 
19 0 
T 0.88161665 
F 0.3910994 
